# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-09-03 22:27:41 EDT       (sdww02)
#
# Data for the following 25 site(s) are contained in this file
#    USGS 02240783 HATCHET CREEK NR FAIRBANKS,FL
#    USGS 02240806 LITTLE HATCHET CREEK AT GAINESVILLE,FL
#    USGS 02240900 NEWNANS LAKE NR GAINESVILLE, FLA.
#    USGS 02240902 PRAIRIE CREEK NEAR GAINESVILLE, FL
#    USGS 02240954 HOGTOWN CREEK NEAR ARREDONDO, FL
#    USGS 02240956 HAILE SINK NEAR ARREDONDO, FL
#    USGS 02240958 LAKE KANAPAHA AT ARREDONDO, FLA.
#    USGS 02240976 TUMBLIN CREEK AT GAINESVILLE,FL
#    USGS 02240980 BIVANS ARM NR GAINESVILLE, FLA.
#    USGS 02240982 BIVANS ARM AT GAINESVILE,FL
#    USGS 02240988 SWEETWATER BRANCH AT GAINESVILLE,FL
#    USGS 02241000 CAMPS CANAL NEAR ROCHELLE, FL
#    USGS 02241900 LOCHLOOSA CREEK AT GROVE PARK, FLA.
#    USGS 02242400 LOCHLOOSA LAKE AT LOCHLOOSA, FLA.
#    USGS 02242450 ORANGE LAKE AT ORANGE LAKE, FLA.
#    USGS 02242451 ORANGE LAKE OUTLET NEAR CITRA, FL
#    USGS 02242460 ORANGE CREEK NEAR ISLAND GROVE, FL
#    USGS 02242500 LOCHLOOSA SLOUGH NR LOCHLOOSA, FLA.
#    USGS 02320610 LITTLE SANTA FE LAKE NR WALDO FLA
#    USGS 02321500 SANTA FE RIVER AT WORTHINGTON SPRINGS, FLA.
#    USGS 02321900 PARENERS BRANCH NEAR BLAND, FL.
#    USGS 02321975 SANTA FE RIVER AT US HWY 441 NEAR HIGH SPRINGS,FL.
#    USGS 02322016 BLUES CREEK NEAR GAINSVILLE, FL
#    USGS 02322049 BAD DOG BRANCH NEAR ALACHUA, FL
#    USGS 02322050 SHILOH RUN NEAR ALACHUA, FL
# -----------------------------------------------------------------------------------
#
# Data provided for site 02321500
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#    03   00065     00003     Gage height, feet (Mean)
#    05   72020     00003     Elevation above NGVD 1929, feet (Mean), Tallahassee records
#    06   63160     00003     Stream water level elevation above NAVD 1988, in feet (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd	03_00065_00003	03_00065_00003_cd	06_63160_00003	06_63160_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	02321500	2005-01-01	203	A	11.35	A		
USGS	02321500	2005-01-02	194	A	11.26	A		
USGS	02321500	2005-01-03	185	A	11.16	A		
USGS	02321500	2005-01-04	176	A	11.06	A		
USGS	02321500	2005-01-05	166	A	10.95	A		
USGS	02321500	2005-01-06	156	A	10.84	A		
USGS	02321500	2005-01-07	146	A	10.72	A		
USGS	02321500	2005-01-08	137	A	10.61	A		
USGS	02321500	2005-01-09	128	A	10.50	A		
USGS	02321500	2005-01-10	121	A	10.40	A		
USGS	02321500	2005-01-11	114	A	10.31	A		
USGS	02321500	2005-01-12	109	A	10.24	A		
USGS	02321500	2005-01-13	103	A	10.16	A		
USGS	02321500	2005-01-14	150	A	10.74	A		
USGS	02321500	2005-01-15	251	A	11.83	A		
USGS	02321500	2005-01-16	268	A	11.99	A		
USGS	02321500	2005-01-17	270	A	12.01	A		
USGS	02321500	2005-01-18	264	A	11.95	A		
USGS	02321500	2005-01-19	239	A	11.72	A		
USGS	02321500	2005-01-20	214	A	11.46	A		
USGS	02321500	2005-01-21	194	A	11.26	A		
USGS	02321500	2005-01-22	181	A	11.12	A		
USGS	02321500	2005-01-23	176	A	11.07	A		
USGS	02321500	2005-01-24	166	A	10.95	A		
USGS	02321500	2005-01-25	152	A	10.79	A		
USGS	02321500	2005-01-26	139	A	10.63	A		
USGS	02321500	2005-01-27	128	A	10.50	A		
USGS	02321500	2005-01-28	118	A	10.36	A		
USGS	02321500	2005-01-29	110	A	10.26	A		
USGS	02321500	2005-01-30	126	A	10.46	A		
USGS	02321500	2005-01-31	141	A	10.65	A		
USGS	02321500	2005-02-01	138	A	10.62	A		
USGS	02321500	2005-02-02	136	A	10.59	A		
USGS	02321500	2005-02-03	153	A	10.80	A		
USGS	02321500	2005-02-04	160	A	10.88	A		
USGS	02321500	2005-02-05	156	A	10.83	A		
USGS	02321500	2005-02-06	150	A	10.76	A		
USGS	02321500	2005-02-07	143	A	10.68	A		
USGS	02321500	2005-02-08	135	A	10.58	A		
USGS	02321500	2005-02-09	125	A	10.45	A		
USGS	02321500	2005-02-10	116	A	10.33	A		
USGS	02321500	2005-02-11	109	A	10.24	A		
USGS	02321500	2005-02-12	102	A	10.14	A		
USGS	02321500	2005-02-13	93	A	10.02	A		
USGS	02321500	2005-02-14	85	A	9.90	A		
USGS	02321500	2005-02-15	81	A	9.84	A		
USGS	02321500	2005-02-16	78	A	9.79	A		
USGS	02321500	2005-02-17	75	A	9.74	A		
USGS	02321500	2005-02-18	71	A	9.66	A		
USGS	02321500	2005-02-19	64	A	9.56	A		
USGS	02321500	2005-02-20	59	A	9.47	A		
USGS	02321500	2005-02-21	55	A	9.39	A		
USGS	02321500	2005-02-22	52	A	9.34	A		
USGS	02321500	2005-02-23	51	A	9.31	A		
USGS	02321500	2005-02-24	51	A	9.31	A		
USGS	02321500	2005-02-25	55	A	9.39	A		
USGS	02321500	2005-02-26	64	A	9.55	A		
